state_code,state_fips,zip_code
VT,50,5450
VT,50,5451
VT,50,5452
VT,50,5453
VT,50,5454
VT,50,5455
VT,50,5731
VT,50,5743
VT,50,5045
VT,50,5456
VT,50,5744
VT,50,5745
VT,50,5457
VT,50,5746
VT,50,5904
VT,50,5146
VT,50,5458
VT,50,5654
VT,50,5747
VT,50,5841
VT,50,5842
VT,50,5046
VT,50,5905
VT,50,5748
VT,50,5843
VT,50,5047
VT,50,5048
VT,50,5049
VT,50,5459
VT,50,5460
VT,50,5461
VT,50,5462
VT,50,5655
VT,50,5750
VT,50,5845
VT,50,5846
VT,50,5463
VT,50,5342
VT,50,5343
VT,50,5464
VT,50,5465
VT,50,5656
VT,50,5466
VT,50,5751
VT,50,5148
VT,50,5847
VT,50,5848
VT,50,5149
VT,50,5906
VT,50,5849
VT,50,5850
VT,50,5851
VT,50,5050
VT,50,5254
VT,50,5255
VT,50,5344
VT,50,5658
VT,50,5753
VT,50,5757
VT,50,5468
VT,50,5469
VT,50,5470
VT,50,5471
VT,50,5601
VT,50,5602
VT,50,5603
VT,50,5604
VT,50,5609
VT,50,5620
VT,50,5633
VT,50,5660
VT,50,5853
VT,50,5657
VT,50,5661
VT,50,5758
VT,50,5051
VT,50,5345
VT,50,5472
VT,50,5855
VT,50,5857
VT,50,5257
VT,50,5759
VT,50,5840
VT,50,5858
VT,50,5473
VT,50,5663
VT,50,5664
VT,50,5052
VT,50,5474
VT,50,5665
VT,50,5053
VT,50,5260
VT,50,5150
VT,50,5054
VT,50,5859
VT,50,5907
VT,50,5055
VT,50,5860
VT,50,5760
VT,50,5861
VT,50,5761
VT,50,5862
VT,50,5151
VT,50,5152
VT,50,5762
VT,50,5763
VT,50,5667
VT,50,5056
VT,50,5058
VT,50,5741
VT,50,5764
VT,50,5261
VT,50,5765
VT,50,5153
VT,50,5346
VT,50,5059
VT,50,5060
VT,50,5061
VT,50,5062
VT,50,5350
VT,50,5352
VT,50,5476
VT,50,5477
VT,50,5767
VT,50,5669
VT,50,5768
VT,50,5701
VT,50,5702
VT,50,5478
VT,50,5479
VT,50,5481
VT,50,5819
VT,50,5863
VT,50,5769
VT,50,5154
VT,50,5262
VT,50,5065
VT,50,5866
VT,50,5482
VT,50,5483
VT,50,5485
VT,50,5770
VT,50,5670
VT,50,5486
VT,50,5155
VT,50,5067
VT,50,5068
VT,50,5069
VT,50,5070
