export-13
Source: CPS Annual Social and Economic (March) Supplement 202003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Doctorate degree (PHD,EDD)",3369,0,0,0,0,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,124104326,2157710,238928,2187072,1236402,11016944,2150788,1391641,413187,297947,7382352,4148293,410209,765277,4910497,3013109,1413301,1135480,2059923,2014236,637232,2553708,2901262,4501611,2601619,1339036,2771585,479112,793449,1062814,631713,3403083,458491,7220403,4214511,351112,5162533,1428534,1640642,5516906,417077,2304898,365654,2930882,8346129,1358502,293301,3476618,2959742,815056,2578271,245544
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,96036462,1541320,210198,1915627,1028195,7418448,1960520,1154432,297588,143663,5540210,2431035,155717,748901,3686379,2616079,1273134,1019017,1877153,1289813,617093,1492026,2377526,3666927,2271712,827280,2381938,472279,723219,829233,594186,2346465,418989,5132955,3012675,334200,4326822,1250080,1525489,4623529,380185,1659193,346990,2396176,5802330,1302624,286400,2435871,2515651,780283,2359242,239465
Children,15342734,254232,36233,251068,197687,991691,315367,161512,42123,16074,694543,442688,17357,154147,601137,432600,225748,196450,340943,211407,98857,231370,341491,575257,372774,157251,416499,83697,135488,104288,81661,421885,51495,845238,434815,60176,716879,230076,231499,733777,51675,266117,63151,439488,914973,299383,43546,439880,371153,124351,378697,42840
Less Than 1st Grade,71150,1906,0,5051,0,17870,3627,0,0,276,0,4552,0,0,0,0,0,0,2401,0,0,0,2572,5344,0,0,1256,0,0,0,0,0,2648,7800,0,233,0,0,2006,3068,0,2401,0,0,2233,4207,0,0,0,1699,0,0
"1st,2nd,3rd,or 4th grade",104149,2757,0,7317,4988,10446,2277,0,0,0,10951,3427,0,557,9727,0,4289,0,8052,0,0,0,3104,3345,0,0,1778,0,0,0,0,3392,0,2804,11057,465,0,2308,1975,0,0,0,472,2792,3413,1757,0,0,0,699,0,0
5th Or 6th Grade,129915,4521,0,2176,1070,7088,3630,4770,0,0,14078,4357,0,0,0,6280,1046,0,0,6511,2889,3937,2631,0,0,1952,0,0,0,2343,720,4364,928,3048,7121,0,3216,0,3450,4857,0,9427,0,3521,6055,0,0,8357,0,5572,0,0
7th and 8th grade,1150972,27158,1429,5795,20670,36605,10181,10742,3672,580,44072,37381,528,6631,51762,51905,20108,12115,27383,18093,8349,2500,24451,25865,37720,24142,44041,6063,7565,4619,4929,25357,3697,36437,33080,7500,100558,20028,12801,68257,3597,17523,4396,31866,83658,8241,3620,23769,24425,18067,44750,2291
9th Grade,1453464,37491,1919,26756,17444,46980,19021,24499,6615,1053,61149,44220,432,7673,69560,34228,14835,7814,62964,27415,4550,26432,28455,57113,39220,17264,47480,5922,9948,7829,11873,27834,3346,88628,62651,4175,78506,18063,26772,77849,10276,28558,5153,34157,72406,17595,4919,30911,32767,22997,36069,1678
10th Grade,2005805,35774,3591,36273,27164,120746,29946,40216,7019,482,105975,68304,1600,13138,73479,71341,17325,12456,33322,39262,5055,28653,34065,79575,39896,22679,64216,11304,8093,26124,9249,47241,3700,89902,67299,4546,130615,24256,30708,112530,6405,29861,6913,52548,113246,30701,2192,46825,54487,21957,56481,7070
